Offer,Total Cost of Loan,Down Payment,Principle,Rate,Down Payment: Percent of Total Offer,Monthly Payment,25% Total Cost of Loan,30% Total Cost of Loan,25% of Total Monthly Payment,30% of Total Monthly Payment,25% of Down Payment,30% of Down Payment,Rent 1,Rent 2,Rent 3,25% Payment - 25% Rent 1,30% Payment - 30% Rent 1,25% Payment - 25% Rent 2,30% Payment - 30% Rent 2,25% Payment - 25% Rent 3,30% Payment - 30 % Rent 3
825000,834311.1240024578,325000,500000,0.075,0.3939393939393939,4635.061800013655,208577.78100061446,250293.33720073733,1158.7654500034137,1390.5185400040964,81250.0,97500.0,5000,6000,7000,846.2654500034137,940.5185400040964,783.7654500034137,850.5185400040964,721.2654500034137,760.5185400040964
800000,834311.1240024578,300000,500000,0.075,0.375,4635.061800013655,208577.78100061446,250293.33720073733,1158.7654500034137,1390.5185400040964,75000.0,90000.0,5000,6000,7000,846.2654500034137,940.5185400040964,783.7654500034137,850.5185400040964,721.2654500034137,760.5185400040964
925000,797444.7025057969,400000,525000,0.06,0.43243243243243246,4430.248347254427,199361.17562644923,239233.41075173905,1107.5620868136068,1329.0745041763282,100000.0,120000.0,5000,6000,7000,795.0620868136068,879.0745041763281,732.5620868136068,789.0745041763281,670.0620868136068,699.0745041763281
900000,797444.7025057969,375000,525000,0.06,0.4166666666666667,4430.248347254427,199361.17562644923,239233.41075173905,1107.5620868136068,1329.0745041763282,93750.0,112500.0,5000,6000,7000,795.0620868136068,879.0745041763281,732.5620868136068,789.0745041763281,670.0620868136068,699.0745041763281
875000,797444.7025057969,350000,525000,0.06,0.4,4430.248347254427,199361.17562644923,239233.41075173905,1107.5620868136068,1329.0745041763282,87500.0,105000.0,5000,6000,7000,795.0620868136068,879.0745041763281,732.5620868136068,789.0745041763281,670.0620868136068,699.0745041763281
850000,797444.7025057969,325000,525000,0.06,0.38235294117647056,4430.248347254427,199361.17562644923,239233.41075173905,1107.5620868136068,1329.0745041763282,81250.0,97500.0,5000,6000,7000,795.0620868136068,879.0745041763281,732.5620868136068,789.0745041763281,670.0620868136068,699.0745041763281
825000,797444.7025057969,300000,525000,0.06,0.36363636363636365,4430.248347254427,199361.17562644923,239233.41075173905,1107.5620868136068,1329.0745041763282,75000.0,90000.0,5000,6000,7000,795.0620868136068,879.0745041763281,732.5620868136068,789.0745041763281,670.0620868136068,699.0745041763281
925000,823196.4602060105,400000,525000,0.065,0.43243243243243246,4573.31366781117,205799.11505150262,246958.93806180314,1143.3284169527924,1371.9941003433507,100000.0,120000.0,5000,6000,7000,830.8284169527924,921.9941003433509,768.3284169527924,831.9941003433509,705.8284169527924,741.9941003433509
900000,823196.4602060105,375000,525000,0.065,0.4166666666666667,4573.31366781117,205799.11505150262,246958.93806180314,1143.3284169527924,1371.9941003433507,93750.0,112500.0,5000,6000,7000,830.8284169527924,921.9941003433509,768.3284169527924,831.9941003433509,705.8284169527924,741.9941003433509
875000,823196.4602060105,350000,525000,0.065,0.4,4573.31366781117,205799.11505150262,246958.93806180314,1143.3284169527924,1371.9941003433507,87500.0,105000.0,5000,6000,7000,830.8284169527924,921.9941003433509,768.3284169527924,831.9941003433509,705.8284169527924,741.9941003433509
